census_tract_id,P1
480170061848,69
480170061850,1840
480170061853,339
480170061856,444
480170061858,830
480170061862,1248
480170061863,155
480170061866,131
480170061867,316
480170061869,178
480170061870,711
480170061873,2124
480170061877,486
480170061878,914
480170061879,116
480170061880,18696
480170061881,230
480170061884,1490
480170061885,432
480170061886,8450
480170061888,2
480170061890,450
480170061894,2205
480170061895,272
480170061896,116
480170061897,544
480170061898,96
480170061900,8082
480170061901,888
480170061902,252
480170061904,119
480170061905,263
480170061906,4664
480170061910,160
480170061911,2175
480170061912,1253
480170061914,4430
480170061915,1083
480170061921,498
480170061922,1950
480170061924,3150
480170061925,170
480170061928,609
480170061931,3003
480170061932,1680
480170061933,1440
480170061936,1064
480170061937,11790
480170061938,486
480170061944,98
480170061945,1476
480170061950,108
480170061952,226
480170061954,304
480170061955,458
480170061956,585
480170061957,189
480170061958,6812
480170061959,478
480170061961,398
480170061963,1560
480170061965,1589
480170061966,78
480170061967,342
480170061968,424
480170061969,108
480170061974,16
480170061978,36
480170061979,3630
480170061983,265
480170061984,135
480170061985,188
480170061986,1216
480170061987,746
480170061988,440
480170061989,39
480170061990,161
480170061991,1302
480170061992,248
480170061994,5232
480170061996,1388
480170062004,632
480170062006,414
480170062007,126
480170062008,1098
480170062012,12
480170062014,323
480170062016,313
480170062017,183
480170062018,2
480170062019,143
480170062020,5100
480170062021,44
480170062024,40
480170062025,669
480170062026,1012
480170062027,116
480170062032,2574
480170062035,17676
480170062036,306
480170062040,1556
480170062041,1323
480170062048,407
480170062049,2514
480170062050,1836
480170062052,61
480170062054,302
480170062055,867
480170062057,568
480170062058,160
480170062059,52
480170062062,204
480170062066,578
480170062069,79
480170062072,64
480170062079,1731
480170062081,292
480170062085,160
480170062087,35
480170062089,121
480170062090,552
480170062091,201
480170062093,15
480170062094,564
480170062096,27
480170062097,11010
480170062098,158
480170062099,214
480170062103,235
480170062105,64
480170062106,433
480170062108,40
480170062109,7
480170062110,69
480170062111,37
480170062119,113
480170062120,42
480170062121,362
480170062122,106
480170062124,74
480170062125,592
480170062126,1365
480170062127,14316
480170062131,198
480170062133,44
480170062135,280
480170062137,20
480170062140,398
480170062142,1
480170062143,6
480170062147,50
480170062149,17
480170062150,309
480170062154,804
480170062155,1934
480170062157,226
480170062158,62
480170062159,123
480170062160,96
480170062161,40
480170062162,28
480170062163,20
480170062164,309
480170062167,786
480170062169,108
480170062177,11655
480170062181,74
480170062186,0
