SEZ2011,PF1
480170061551,695
480170061552,616
480170061553,27
480170061554,204
480170061556,645
480170061557,846
480170061559,21
480170061560,276
480170061561,80
480170061562,59
480170061563,0
480170061564,118
480170061565,393
480170061567,84
480170061568,744
480170061569,139
480170061570,219
480170061571,102
480170061572,300
480170061573,328
480170061574,152
480170061575,306
480170061576,38
480170061578,66
480170061579,80
480170061580,428
480170061581,678
480170061582,609
480170061583,82
480170061585,1221
480170061587,228
480170061589,348
480170061590,40
480170061593,760
480170061594,424
480170061596,1464
480170061597,54
480170061598,1188
480170061599,83
480170061600,336
480170061601,740
480170061602,35
480170061604,184
480170061605,27
480170061606,3588
480170061607,2
480170061608,290
480170061609,190
480170061612,280
480170061613,242
480170061616,3835
480170061619,214
480170061620,888
480170061622,36
480170061623,948
480170061624,105
480170061626,58
480170061629,5670
480170061630,74
480170061632,2448
480170061634,1150
480170061637,49
480170061638,69
480170061639,108
480170061640,228
480170061641,2850
480170061643,31
480170061645,4165
480170061646,1575
480170061647,921
480170061649,1176
480170061650,87
480170061652,76
480170061653,86
480170061654,4
480170061655,244
480170061656,64
480170061659,960
480170061660,15
480170061661,2805
480170061663,1645
480170061664,360
480170061665,116
480170061667,1542
480170061668,483
480170061669,5304
480170061670,580
480170061672,3584
480170061673,200
480170061674,231
480170061675,114
480170061677,262
480170061681,237
480170061683,219
480170061684,2052
480170061685,0
480170061686,39
480170061688,888
480170061689,86
480170061691,1204
480170061692,600
480170061693,3861
480170061694,159
480170061695,219
480170061696,123
480170061697,19
480170061698,142
480170061699,756
480170061700,344
480170061701,396
480170061704,208
480170061710,220
480170061712,185
480170061713,152
480170061714,1230
480170061715,56
480170061716,0
480170061721,45
480170061722,1302
480170061724,14
480170061732,610
480170061734,63
480170061736,1004
480170061737,552
480170061738,1141
480170061739,795
480170061742,2016
480170061744,86
480170061745,38
480170061747,38
480170061750,1188
480170061752,9
480170061754,9
480170061755,1205
480170061759,86
480170061760,14
480170061764,111
480170061768,96
480170061769,8
480170061770,57
480170061771,424
