SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060469","1","1","1","1","0","17","116","142","1","4","148"
"480170060470","2","1","2","1","0","30","346","396","3","8","382"
"480170060471","4","2","4","2","0","68","344","464","4","12","384"
"480170060472","10","6","9","10","5","10","50","60","16","40","80"
"480170060473","5","5","5","5","3","100","675","830","3","16","985"
"480170060474","11","7","9","10","7","396","847","1331","14","33","1309"
"480170060475","34","26","28","31","15","476","1020","1632","57","162","1666"
"480170060476","2","2","2","2","2","0","0","0","2","4","0"
"480170060477","27","24","26","22","18","621","1404","2646","51","152","2565"
"480170060478","2","1","2","1","0","40","126","174","3","8","172"
"480170060479","18","15","18","15","9","0","0","0","28","71","0"
"480170060480","21","15","21","20","10","336","819","1344","26","78","1449"
"480170060482","2","2","2","2","2","12","10","28","5","13","34"
"480170060485","3","1","3","2","0","15","165","198","5","12","201"
"480170060488","3","1","3","1","0","75","345","453","3","6","513"
"480170060489","6","5","5","6","5","144","150","324","10","23","300"
"480170060490","1","0","1","0","0","13","38","53","1","2","55"
"480170060491","11","9","11","9","6","88","253","385","18","48","407"
"480170060492","22","17","21","20","14","242","880","1254","36","99","1540"
"480170060493","20","16","20","18","13","120","560","780","23","63","860"
"480170060495","1","0","1","0","0","12","132","157","1","2","151"
"480170060497","2","0","1","0","0","18","88","120","2","4","128"
"480170060499","19","16","16","17","11","608","855","1691","29","70","1729"
"480170060501","5","3","5","5","3","30","55","95","7","24","105"
"480170060502","1","0","1","1","0","9","54","72","1","4","69"
"480170060504","1","0","1","0","0","23","137","179","0","2","193"
"480170060505","3","0","3","2","0","12","216","255","3","8","252"
"480170060506","9","7","6","8","7","162","207","405","12","37","468"
"480170060507","2","0","2","1","0","78","106","188","2","5","184"
"480170060509","26","20","23","25","9","546","520","1404","40","112","1794"
"480170060510","49","29","46","47","22","4802","7693","14651","65","174","18032"
"480170060512","4","1","4","2","1","44","392","480","4","9","456"
"480170060513","13","10","13","12","7","221","416","650","21","67","845"
"480170060514","1","0","1","1","0","4","40","52","2","6","51"
"480170060515","3","0","2","3","0","87","330","459","3","7","450"
"480170060516","3","1","3","3","0","222","489","765","4","10","648"
"480170060517","3","3","3","3","3","0","3","36","4","16","33"
"480170060518","1","1","1","1","1","8","0","8","2","5","10"
"480170060521","10","6","9","8","4","60","430","510","14","34","640"
"480170060522","34","26","30","32","16","1428","3434","6426","41","122","8602"
"480170060523","6","5","6","5","4","72","192","306","9","27","342"
"480170060524","17","16","17","17","16","34","102","170","20","55","289"
"480170060525","2","0","2","2","0","58","146","218","5","10","262"
"480170060526","54","35","47","43","23","972","3672","5670","83","214","7128"
"480170060527","2","0","2","1","0","66","104","188","4","8","188"
"480170060528","1","1","1","1","1","25","87","123","2","6","116"
"480170060529","19","11","18","17","9","0","19","38","38","101","57"
"480170060530","7","4","7","5","1","119","630","805","13","33","1113"
"480170060531","6","4","6","5","1","234","1170","1524","10","23","1710"
"480170060533","29","22","28","24","11","1015","319","1450","42","123","1740"
"480170060534","3","1","3","2","1","48","342","453","5","12","387"
"480170060535","9","9","8","9","8","36","90","135","11","38","225"
"480170060536","9","3","8","8","1","396","1881","2664","11","31","2502"
"480170060538","8","7","7","8","6","24","104","168","13","32","184"
"480170060539","4","4","4","4","4","96","28","128","7","20","128"
