SEZ2011,E3
480170062020,220
480170062021,9
480170062024,7
480170062025,15
480170062026,26
480170062027,3
480170062032,105
480170062035,768
480170062036,3
480170062040,24
480170062041,135
480170062048,19
480170062049,48
480170062050,156
480170062052,16
480170062054,36
480170062055,60
480170062057,18
480170062058,14
480170062059,1
480170062062,63
480170062066,74
480170062069,17
480170062072,10
480170062079,126
480170062081,32
480170062085,9
480170062087,10
480170062089,13
480170062090,140
480170062091,42
480170062093,9
480170062094,68
480170062096,4
480170062097,900
480170062098,34
480170062099,8
480170062103,55
480170062105,24
480170062106,88
480170062108,13
480170062109,2
480170062110,10
480170062111,11
480170062119,17
480170062120,18
480170062121,52
480170062122,52
480170062124,16
480170062125,170
480170062126,395
480170062127,1440
480170062131,54
480170062133,6
480170062135,38
480170062137,6
480170062140,96
480170062142,1
480170062143,5
480170062147,8
480170062149,4
480170062150,51
480170062154,288
480170062155,244
480170062157,36
480170062158,20
480170062159,60
480170062160,20
480170062161,18
480170062162,7
480170062163,5
480170062164,78
480170062167,18
480170062169,22
480170062177,1260
480170062181,29
480170062186,1
