SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060425,"237","50","74","143","40","167",480170060425,728.747373271000015,18919.886604800001805,"94","160399",https://www.airbnb.com/rooms/160399,2021/12/17,"Ponte Vecchio Apartment, Private & Cosy","768323",Paolo,2011/07/02,"Florence, Toscana, Italy","6",Centro Storico,43.765839999999997,11.254400000000000,Entire home/apt,"3",1.000000000000000,42.000000000000000,"8","38","66","330","52","7",,t,"4",3.300000000000000
480170060427,"130","21","32","57","2","55",480170060427,240.631477085999990,3741.518075469999985,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060428,"10","2","3","7","1","14",480170060428,55.075928079199997,156.650439306999999,"767","2209665",https://www.airbnb.com/rooms/2209665,2021/12/17,Apartment Soprarno Attico,"380378",Officina 360,2011/02/07,"Florence, Tuscany, Italy","36",Centro Storico,43.766889999999997,11.254040000000000,Entire home/apt,"2",1.000000000000000,77.000000000000000,"19","49","79","334","15","0",,t,"26",1.820000000000000
480170060429,"234","5","103","114","25","112",480170060429,639.901639533999969,16711.945549200001551,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060430,"51","6","13","25","10","31",480170060430,713.715829010999983,16635.089440299998387,"2892","13394977",https://www.airbnb.com/rooms/13394977,2021/12/17,Appartamento in centro S. Ambrogio,"72542533",Aida,2016/05/17,"Florence, Tuscany, Italy","1",Centro Storico,43.766610000000000,11.266260000000001,Entire home/apt,"4",3.000000000000000,76.000000000000000,"0","0","0","0","0","0",,f,"1",
480170060431,"90","13","39","58","15","132",480170060431,228.180217222000010,3137.359182059999966,"1057","3440852",https://www.airbnb.com/rooms/3440852,2021/12/17,Passera 2b in Santo Spirito,"4156491",Apartments Florence,2012/11/15,"Florence, Tuscany, Italy","189",Centro Storico,43.767080000000000,11.250679999999999,Entire home/apt,"6",2.000000000000000,195.000000000000000,"0","0","0","0","0","0",,t,"125",0.090000000000000
480170060432,"80","7","31","44","5","46",480170060432,528.061886341999980,7981.030967640000199,"1087","3569085",https://www.airbnb.com/rooms/3569085,2021/12/17,Living the heart of Florence,"17969728",Lucia,2014/07/11,"Florence, Tuscany, Italy","3",Centro Storico,43.766800000000003,11.262869999999999,Entire home/apt,"4",1.000000000000000,80.000000000000000,"0","0","0","0","0","0",048017CAV0158,t,"3",0.140000000000000
480170060433,"174","40","41","97","19","125",480170060433,891.435350799000048,18842.167063299999427,"488","1112701",https://www.airbnb.com/rooms/1112701,2021/12/17,super quiet flat at the city core,"3865639",Andrea,2012/10/14,"Florence, Tuscany, Italy","3",Centro Storico,43.765329999999999,11.258170000000000,Entire home/apt,"4",2.000000000000000,103.000000000000000,"25","55","85","253","0","0",,f,"1",0.730000000000000
480170060434,"15","7","5","12","1","13",480170060434,112.418568172999997,754.482857082000010,"1217","4179693",https://www.airbnb.com/rooms/4179693,2021/12/17,Magnolia golden house,"3314526",Alessandro,2012/08/20,"Florence, Tuscany, Italy","64",Centro Storico,43.766930000000002,11.253660000000000,Entire home/apt,"4",2.000000000000000,96.000000000000000,"18","18","18","18","0","0",,f,"36",0.590000000000000
480170060435,"499","51","181","260","44","218",480170060435,719.993409358000008,20575.386696500001563,"198","413600",https://www.airbnb.com/rooms/413600,2021/12/17,SuperCentral flat -Lovely terrace,"2057721",Francesca,2012/04/02,Austria,"1",Centro Storico,43.766309999999997,11.243840000000001,Entire home/apt,"4",2.000000000000000,80.000000000000000,"0","0","0","211","4","0",,f,"1",0.770000000000000
480170060436,"1123","160","328","585","168","670",480170060436,4028.200518069999816,698892.705364000168629,"89","152738",https://www.airbnb.com/rooms/152738,2021/12/17,Tony's Rental rooms,"734784",Antonio,2011/06/23,"Florence, Tuscany, Italy","4",Centro Storico,43.764310000000002,11.246670000000000,Private room,"2",1.000000000000000,49.000000000000000,"0","0","27","302","0","0",,f,"5",
