SEZ2011,AGG_COUNT,bedrooms,E27,E3,listing_building_rate,bedroom_apartments_rate
480170060470,2,3,382,72,2.7777777777777777,0.7853403141361256
480170060471,4,4,384,28,14.285714285714285,1.0416666666666665
480170060472,10,16,80,30,33.33333333333333,20.0
480170060473,5,3,985,65,7.6923076923076925,0.3045685279187817
480170060474,11,14,1309,396,2.7777777777777777,1.06951871657754
480170060475,34,57,1666,68,50.0,3.4213685474189672
480170060476,2,2,0,0,n/a,n/a
480170060477,27,51,2565,486,5.555555555555555,1.9883040935672516
480170060478,2,3,172,24,8.333333333333332,1.744186046511628
480170060479,18,28,0,0,n/a,n/a
480170060480,21,26,1449,294,7.142857142857142,1.7943409247757072
480170060482,2,5,34,10,20.0,14.705882352941178
480170060485,3,5,201,63,4.761904761904762,2.4875621890547266
480170060488,3,3,513,93,3.225806451612903,0.5847953216374269
480170060489,6,10,300,84,7.142857142857142,3.3333333333333335
480170060490,1,1,55,3,33.33333333333333,1.8181818181818181
480170060491,11,18,407,121,9.090909090909092,4.422604422604422
480170060492,22,36,1540,286,7.6923076923076925,2.3376623376623376
480170060493,20,23,860,60,33.33333333333333,2.6744186046511627
480170060495,1,1,151,34,2.941176470588235,0.6622516556291391
480170060497,2,2,128,68,2.941176470588235,1.5625
480170060499,19,29,1729,399,4.761904761904762,1.67727009832273
480170060501,5,7,105,35,14.285714285714285,6.666666666666667
480170060502,1,1,69,15,6.666666666666667,1.4492753623188406
480170060504,1,0,193,33,3.0303030303030303,0.0
480170060505,3,3,252,27,11.11111111111111,1.1904761904761905
480170060506,9,12,468,81,11.11111111111111,2.564102564102564
480170060507,2,2,184,30,6.666666666666667,1.0869565217391304
480170060509,26,40,1794,208,12.5,2.229654403567447
480170060510,49,65,18032,3136,1.5625,0.3604702750665484
480170060512,4,4,456,236,1.694915254237288,0.8771929824561403
480170060513,13,21,845,182,7.142857142857142,2.485207100591716
480170060514,1,2,51,17,5.88235294117647,3.9215686274509802
480170060515,3,3,450,87,3.4482758620689653,0.6666666666666667
480170060516,3,4,648,60,5.0,0.6172839506172839
480170060517,3,4,33,3,100.0,12.121212121212121
480170060518,1,2,10,3,33.33333333333333,20.0
480170060521,10,14,640,120,8.333333333333332,2.1875
480170060522,34,41,8602,1870,1.8181818181818181,0.47663334108346894
480170060523,6,9,342,66,9.090909090909092,2.631578947368421
480170060524,17,20,289,68,25.0,6.920415224913495
480170060525,2,5,262,20,10.0,1.9083969465648856
480170060526,54,83,7128,1404,3.8461538461538463,1.1644219977553312
480170060527,2,4,188,24,8.333333333333332,2.127659574468085
480170060528,1,2,116,41,2.4390243902439024,1.7241379310344827
480170060529,19,38,57,19,100.0,66.66666666666666
480170060530,7,13,1113,63,11.11111111111111,1.1680143755615455
480170060531,6,10,1710,90,6.666666666666667,0.5847953216374269
480170060533,29,42,1740,203,14.285714285714285,2.413793103448276
480170060534,3,5,387,45,6.666666666666667,1.2919896640826873
480170060535,9,11,225,90,10.0,4.888888888888889
480170060536,9,11,2502,360,2.5,0.4396482813749001
480170060538,8,13,184,24,33.33333333333333,7.065217391304348
480170060539,4,7,128,20,20.0,5.46875
