host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"121538021","1","0","1","1","0","3","7"
"12156223","1","1","0","1","0","0","4"
"1215999","2","6","2","2","2","5","10"
"121658058","1","1","1","1","0","2","6"
"12176387","2","6","2","2","2","4","11"
"12182373","1","22","1","1","1","2","6"
"121994478","1","1","1","1","0","1","4"
"122048407","1","0","1","1","0","1","2"
"12206431","1","2","1","0","0","1","1"
"1220776","1","0","1","0","0","1","2"
"12208198","1","1","1","1","0","1","4"
"12215960","1","1","1","1","0","2","7"
"122207844","1","2","1","0","0","1","2"
"122211467","3","9","3","0","3","3","6"
"122224401","1","1","1","1","0","2","7"
"122224707","1","2","0","1","0","1","4"
"12228886","1","1","1","0","0","1","1"
"1224280","2","4","2","1","0","5","12"
"122474267","2","4","2","2","0","3","7"
"12248934","1","1","1","0","0","1","2"
"12249207","3","9","1","3","3","7","18"
"122493408","1","1","1","1","0","1","3"
"12256114","1","1","1","1","0","1","4"
"12258133","1","1","1","1","0","1","2"
"12267567","1","1","1","1","0","1","2"
"12281141","1","1","1","1","0","1","2"
"122834023","1","1","1","0","0","1","2"
"122875988","1","3","1","1","1","1","4"
"122905433","2","4","2","0","0","2","5"
"12298361","1","1","1","1","0","1","2"
"12316952","2","4","2","0","0","2","2"
"123185001","6","60","6","1","6","13","26"
"12320380","9","9","9","0","0","16","33"
"12323329","2","4","0","2","0","0","6"
"123234393","1","1","0","0","0","1","2"
"123249843","6","36","6","0","6","6","16"
"123275032","3","6","3","3","0","6","17"
"123281390","1","1","1","1","0","1","2"
"123372100","1","1","1","0","0","1","5"
"12348967","1","1","1","1","0","1","2"
"123607414","1","1","1","1","0","2","6"
"12365317","3","9","3","3","3","2","7"
"1236601","1","1","1","1","0","2","4"
"123719537","1","1","1","1","0","1","2"
"123830215","2","4","2","0","0","2","3"
"123886857","1","1","1","1","0","2","3"
"123903799","1","0","1","1","0","2","5"
"123917214","1","1","1","1","0","1","4"
"12393905","2","4","2","1","0","2","6"
"123983738","1","1","1","1","0","1","4"
"123990805","2","4","2","2","0","3","10"
"124013921","1","0","1","1","0","2","4"
"12409953","1","2","1","0","0","1","1"
"12411083","1","4","1","0","1","1","2"
"1241330","1","1","1","1","0","3","7"
