SEZ2011,A46
480170061422,174
480170061423,465
480170061424,1616
480170061425,30
480170061426,22
480170061427,44
480170061429,55
480170061431,3
480170061432,26
480170061433,0
480170061434,36
480170061435,96
480170061436,357
480170061437,4
480170061439,132
480170061440,140
480170061442,52
480170061443,10
480170061444,16
480170061445,279
480170061446,11
480170061448,8
480170061449,26
480170061450,26
480170061451,60
480170061452,30
480170061453,26
480170061454,10
480170061457,7
480170061458,0
480170061459,36
480170061460,14
480170061461,15
480170061463,80
480170061464,12
480170061465,8
480170061466,8
480170061467,14
480170061469,221
480170061470,6
480170061473,42
480170061474,8
480170061476,182
480170061477,50
480170061478,116
480170061479,144
480170061480,56
480170061481,108
480170061482,26
480170061483,7
480170061485,40
480170061487,80
480170061488,56
480170061489,0
480170061490,20
480170061491,54
480170061492,63
480170061493,81
480170061496,44
480170061497,66
480170061498,129
480170061499,7
480170061500,7
480170061501,42
480170061502,20
480170061503,66
480170061506,4
480170061507,105
480170061508,456
480170061510,65
480170061511,28
480170061512,25
480170061514,90
480170061516,31
480170061517,28
480170061519,15
480170061520,27
480170061521,110
480170061522,54
480170061523,60
480170061524,31
480170061525,54
480170061528,8
480170061529,100
480170061531,216
480170061535,222
480170061536,182
480170061537,64
480170061539,19
480170061540,16
480170061541,55
480170061542,7
480170061544,175
480170061545,2
480170061546,60
480170061547,110
480170061548,12
480170061549,52
480170061551,175
480170061552,77
480170061553,2
480170061554,33
480170061556,150
480170061557,132
480170061559,6
480170061560,48
480170061561,11
480170061562,18
480170061563,0
480170061564,20
480170061565,117
480170061567,5
480170061568,84
480170061569,20
480170061570,51
480170061571,24
480170061572,78
480170061573,92
480170061574,8
480170061575,27
480170061576,4
480170061578,6
480170061579,0
480170061580,148
480170061581,192
480170061582,175
480170061583,17
480170061585,209
480170061587,46
480170061589,81
480170061590,5
480170061593,85
480170061594,80
480170061596,408
480170061597,4
480170061598,528
480170061599,6
480170061600,39
480170061601,150
480170061602,10
480170061604,36
480170061605,6
480170061606,696
480170061607,0
480170061608,48
480170061609,40
480170061612,48
480170061613,55
480170061616,416
480170061619,38
480170061620,243
480170061622,7
480170061623,164
480170061624,30
480170061626,10
480170061629,1670
480170061630,12
480170061632,432
480170061634,105
480170061637,31
480170061638,8
480170061639,26
480170061640,34
480170061641,1320
480170061643,5
480170061645,985
480170061646,224
480170061647,189
480170061649,288
480170061650,19
480170061652,13
480170061653,15
480170061654,0
480170061655,34
480170061656,8
480170061659,64
480170061660,14
480170061661,715
480170061663,710
480170061664,52
480170061665,28
480170061667,282
480170061668,111
480170061669,1088
480170061670,70
480170061672,688
480170061673,12
480170061674,54
480170061675,19
480170061677,40
480170061681,36
480170061683,29
480170061684,801
480170061685,0
480170061686,0
480170061688,148
480170061689,6
480170061691,356
480170061692,63
480170061693,792
480170061694,24
480170061695,30
480170061696,29
480170061697,1
480170061698,25
480170061699,84
480170061700,52
480170061701,66
480170061704,62
480170061710,42
480170061712,26
480170061713,38
480170061714,190
480170061715,10
480170061716,0
480170061721,7
480170061722,312
480170061724,0
480170061732,165
480170061734,8
480170061736,224
480170061737,168
480170061738,84
480170061739,160
480170061742,384
480170061744,6
480170061745,4
480170061747,8
480170061750,300
480170061752,0
480170061754,1
480170061755,160
480170061759,11
480170061760,2
480170061764,26
480170061768,10
480170061769,8
480170061770,4
480170061771,78
480170061772,2
480170061779,38
480170061781,36
480170061782,17
480170061783,0
480170061786,60
480170061787,9
480170061792,300
480170061793,8
480170061794,208
480170061796,0
480170061798,38
480170061799,1
480170061804,60
480170061805,141
480170061808,140
480170061813,26
480170061814,16
480170061816,6
480170061817,516
480170061819,0
480170061820,39
480170061822,16
480170061824,12
480170061826,108
480170061827,30
480170061831,16
480170061832,108
480170061834,1440
480170061838,14
480170061840,76
480170061844,87
480170061848,6
480170061850,44
480170061853,21
480170061856,44
480170061858,50
480170061862,276
480170061863,39
480170061866,13
480170061867,14
480170061869,112
480170061870,66
480170061873,699
480170061877,33
480170061878,38
480170061879,5
480170061880,1786
480170061881,18
480170061884,148
480170061885,64
480170061886,702
480170061888,0
480170061890,38
480170061894,537
480170061895,12
480170061896,5
480170061897,29
480170061898,8
480170061900,1026
480170061901,72
480170061902,25
480170061904,18
480170061905,36
480170061906,192
480170061910,17
480170061911,145
480170061912,126
480170061914,305
480170061915,84
480170061921,82
480170061922,145
480170061924,287
480170061925,13
480170061928,42
480170061931,369
480170061932,147
480170061933,57
480170061936,56
480170061937,940
480170061938,52
480170061944,9
480170061945,276
480170061950,13
480170061952,9
480170061954,30
480170061955,66
480170061956,74
480170061957,34
480170061958,195
480170061959,5
480170061961,18
480170061963,328
480170061965,112
480170061966,7
480170061967,26
480170061968,42
480170061969,11
480170061974,1
480170061978,4
480170061979,300
480170061983,25
480170061984,3
480170061985,8
480170061986,124
480170061987,18
480170061988,20
480170061989,2
480170061990,13
480170061991,111
480170061992,10
480170061994,360
480170061996,112
480170062004,14
480170062006,23
480170062007,5
480170062008,60
480170062012,0
480170062014,96
480170062016,28
480170062017,78
480170062018,0
480170062019,7
480170062020,500
480170062021,1
480170062024,0
480170062025,36
480170062026,54
480170062027,2
480170062032,159
480170062035,1524
480170062036,24
480170062040,80
480170062041,99
480170062048,36
480170062049,454
480170062050,138
480170062052,4
480170062054,28
480170062055,114
480170062057,51
480170062058,18
480170062059,0
480170062062,9
480170062066,50
480170062069,12
480170062072,6
480170062079,441
480170062081,18
480170062085,14
480170062087,0
480170062089,9
480170062090,16
480170062091,8
480170062093,3
480170062094,20
480170062096,1
480170062097,1220
480170062098,7
480170062099,3
480170062103,21
480170062105,10
480170062106,32
480170062108,1
480170062109,0
480170062110,3
480170062111,2
480170062119,18
480170062120,0
480170062121,4
480170062122,10
480170062124,1
480170062125,22
480170062126,95
480170062127,1452
480170062131,27
480170062133,2
480170062135,16
480170062137,0
480170062140,14
480170062142,0
480170062143,1
480170062147,8
480170062149,1
480170062150,15
480170062154,96
480170062155,120
480170062157,13
480170062158,5
480170062159,6
480170062160,6
480170062161,0
480170062162,1
480170062163,1
480170062164,6
480170062167,24
480170062169,2
480170062177,2772
480170062181,1
480170062186,0
