SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060974,4.0,,2.0,
480170060975,,,2.0,
480170060976,3.0,,,
480170060977,5.0,,,
480170060979,,,2.0,2.0
480170060983,5.0,,,
480170060984,3.739130434782609,2.8333333333333335,2.3,
480170060985,3.0,,,
480170060986,4.6,,2.0,
480170060988,3.75,,,
480170060990,2.0,,,
480170060991,4.0,,,
480170060992,3.875,,2.0,
480170060994,4.0,,2.0,
480170060995,4.121621621621622,2.0,3.466666666666667,
480170060996,6.333333333333333,,,
480170060998,,,4.0,
480170060999,4.0,,2.0,
480170061000,,,2.0,
480170061001,3.6666666666666665,,2.0,
480170061002,3.393939393939394,,2.0,
480170061003,5.0,4.0,,
480170061004,5.0588235294117645,2.0,2.5,
480170061005,3.0,,2.0,
480170061006,,,2.0,
480170061007,6.0,,,
480170061009,4.0,,2.0,
480170061010,5.25,,2.2666666666666666,
480170061011,4.075949367088608,2.875,2.6923076923076925,
480170061013,3.0,,,
480170061014,3.75,,,
480170061017,4.612903225806452,,2.272727272727273,
480170061018,,,3.0,
480170061019,4.0,,,
480170061021,,,2.0,
480170061023,3.0,,,2.0
480170061025,4.076923076923077,2.0,1.9230769230769231,
480170061026,6.0,,,
480170061035,4.0,,1.3333333333333333,
480170061036,2.0,,,
480170061037,4.0,,2.0,
480170061039,,,2.0,
480170061040,2.0,,,
480170061043,4.0,,2.0,
480170061044,3.7857142857142856,,2.4,
480170061045,4.191780821917808,2.0,2.0,
480170061049,6.0,,,
480170061050,3.8823529411764706,,2.111111111111111,
480170061051,4.0,,2.0,
480170061053,7.333333333333333,,1.8,
480170061055,3.6363636363636362,,2.0,
480170061057,4.0,,,
480170061058,4.5,,1.6666666666666667,
480170061061,5.0,,,
480170061064,3.9130434782608696,3.5,2.0,
480170061065,,,2.0,
480170061066,4.0,,1.8,
480170061068,4.0,,2.0,
480170061069,4.75,,2.2,
480170061070,5.333333333333333,,2.0,
480170061071,4.085106382978723,2.3333333333333335,2.7777777777777777,
480170061072,,,2.0,
480170061073,4.425531914893617,4.0,2.7333333333333334,
480170061075,6.0,,,
480170061076,5.375,,2.5,
480170061077,4.0,,,
480170061078,5.0,,,
480170061079,4.25,,,
480170061081,,,2.0,
480170061082,2.0,,2.0,
480170061086,6.0,,,
480170061087,4.0,,,
480170061089,2.0,,,
480170061090,4.545454545454546,,2.3333333333333335,
480170061091,3.8333333333333335,,2.75,
480170061092,4.5,,2.3636363636363638,
480170061094,4.45,,2.1333333333333333,
480170061095,,,3.0,
480170061099,2.0,,,
480170061100,4.5,,4.0,
480170061104,4.0,,2.0,
480170061106,,,1.0,
480170061109,,,1.0,
480170061110,4.2,,2.25,
480170061111,5.0,,,
480170061112,4.2727272727272725,2.0,1.5,
480170061114,4.0,,2.0,
480170061115,4.318181818181818,,2.0,
480170061118,,,2.0,
480170061119,5.0,,2.0,
480170061120,3.0,,2.0,
480170061121,3.5833333333333335,3.0,2.2,
480170061123,3.3333333333333335,,,
480170061124,,,2.0,
480170061125,4.0,,1.0,
480170061127,2.0,,2.0,
480170061132,4.444444444444445,,2.857142857142857,
480170061133,4.5,,,
480170061134,,,2.0,
480170061135,4.157894736842105,,2.5,
480170061137,3.0,,2.0,
480170061141,3.9,,3.0,
480170061145,6.0,,2.0,
480170061149,3.6842105263157894,2.0,2.0,
480170061150,,,2.0,
480170061153,5.0,,2.0,
480170061157,4.6,,3.3333333333333335,
480170061160,4.368421052631579,2.0,2.0,
480170061161,3.0,,,
480170061165,3.5,,1.75,
480170061169,3.0,,,
