SEZ2011,AGG_COUNT,bedrooms,accommodates,E27,PF1
"480170060731","12","19","45","1896","1860"
"480170060732","4","5","13","316","340"
"480170060733","1","1","2","2","2"
"480170060734","28","43","113","3304","1820"
"480170060735","12","15","43","708","396"
"480170060738","5","7","19","50","10"
"480170060740","9","19","40","585","576"
"480170060741","9","12","27","306","243"
"480170060743","8","13","32","176","112"
"480170060746","15","22","57","705","495"
"480170060747","22","37","95","2024","1694"
"480170060748","8","18","40","312","256"
"480170060750","9","15","35","261","153"
"480170060751","2","4","8","0","0"
"480170060752","7","7","27","140","70"
"480170060753","11","14","40","143","132"
"480170060754","22","30","82","1342","1298"
"480170060755","16","33","80","1280","1264"
"480170060756","15","21","60","1560","1170"
"480170060757","10","16","44","270","250"
"480170060758","12","17","43","0","0"
"480170060759","2","2","4","36","40"
"480170060760","13","24","54","1378","962"
"480170060761","6","9","20","0","0"
"480170060762","2","2","7","66","40"
"480170060763","45","61","171","10620","10215"
"480170060764","3","3","14","183","135"
"480170060765","1","1","3","14","8"
"480170060766","2","2","12","282","284"
"480170060767","6","7","19","324","228"
"480170060768","8","12","19","5136","5176"
"480170060771","11","15","36","462","473"
"480170060772","4","5","12","1776","1760"
"480170060774","2","3","6","130","82"
"480170060775","2","2","7","46","42"
"480170060777","9","18","44","126","90"
"480170060779","7","8","23","1169","896"
"480170060781","19","29","75","3249","3382"
"480170060782","20","34","94","1000","720"
"480170060783","3","5","10","609","708"
"480170060784","1","1","2","145","144"
"480170060785","7","8","18","364","294"
"480170060787","15","28","70","1605","1275"
"480170060789","8","12","29","264","336"
"480170060790","4","9","18","28","4"
"480170060791","15","20","56","210","75"
"480170060793","4","8","18","4","0"
"480170060795","5","6","19","200","80"
"480170060796","7","14","38","287","168"
"480170060798","24","38","105","1392","1128"
"480170060799","17","25","60","816","476"
"480170060800","13","17","44","442","468"
"480170060801","1","2","4","166","180"
"480170060802","3","3","11","234","195"
"480170060803","8","23","45","512","376"
"480170060804","46","63","164","7130","4876"
"480170060807","1","0","1","81","62"
"480170060809","4","6","17","48","32"
"480170060810","12","12","36","612","540"
"480170060812","20","32","82","1000","780"
"480170060815","29","46","118","3567","3799"
"480170060816","2","4","6","28","8"
"480170060817","12","15","35","1476","1356"
"480170060818","79","119","303","17222","13193"
"480170060819","4","7","15","1124","1164"
"480170060820","1","1","2","97","98"
"480170060821","1","1","6","7","7"
"480170060822","12","17","56","156","120"
"480170060823","2","3","10","14","16"
"480170060824","2","3","8","50","10"
"480170060825","15","23","59","1560","960"
"480170060826","2","2","6","244","230"
"480170060827","1","1","2","0","0"
"480170060828","3","5","14","432","588"
"480170060829","11","25","62","88","55"
"480170060830","1","1","4","404","399"
"480170060831","1","1","2","82","55"
"480170060833","7","15","33","91","63"
"480170060835","6","10","25","930","906"
"480170060836","15","19","47","555","330"
"480170060837","2","5","13","30","20"
"480170060838","19","31","74","1330","798"
"480170060839","9","11","25","72","162"
"480170060840","4","6","17","56","52"
"480170060841","6","8","20","642","528"
"480170060842","33","59","144","3465","2673"
"480170060843","6","6","20","876","780"
"480170060844","15","14","46","450","285"
"480170060845","1","1","4","70","65"
"480170060846","19","25","70","1140","836"
"480170060847","32","42","111","8544","8288"
"480170060848","1","1","4","5","5"
"480170060850","2","2","4","154","166"
"480170060851","7","9","27","441","399"
"480170060852","1","1","4","31","26"
"480170060855","9","10","27","414","333"
"480170060858","1","2","6","0","0"
"480170060859","1","2","5","203","151"
"480170060861","16","23","64","1808","1808"
"480170060862","1","1","3","32","35"
"480170060863","1","1","2","49","37"
"480170060864","9","11","26","1485","1440"
"480170060865","22","33","77","8844","7920"
"480170060866","10","14","35","1280","1310"
"480170060867","18","29","77","936","1080"
"480170060870","3","4","11","324","180"
"480170060873","4","7","16","844","800"
"480170060874","25","33","89","5800","5875"
"480170060877","6","12","32","138","66"
"480170060878","1","2","4","14","101"
"480170060879","11","28","72","319","176"
"480170060881","5","10","25","25","30"
"480170060883","11","21","51","572","330"
"480170060884","5","5","14","50","30"
"480170060886","15","22","65","1020","720"
"480170060887","5","7","21","195","140"
"480170060888","18","32","82","1944","1638"
"480170060890","1","2","6","14","43"
"480170060891","1","1","2","154","152"
"480170060892","1","1","1","7","6"
"480170060895","22","36","94","0","462"
"480170060896","2","2","9","82","84"
"480170060897","32","51","149","6848","5856"
"480170060899","1","2","6","107","110"
"480170060902","12","12","32","660","600"
"480170060906","4","6","17","96","28"
"480170060907","5","5","16","2275","1385"
"480170060908","3","4","13","324","369"
"480170060910","4","4","12","364","268"
"480170060911","3","3","9","90","90"
"480170060912","1","1","2","3","1"
"480170060915","2","3","6","256","258"
"480170060916","76","100","286","15428","15352"
"480170060917","5","10","29","0","0"
"480170060918","25","35","98","1025","850"
"480170060919","37","57","144","3885","3959"
"480170060920","2","3","8","112","106"
"480170060921","2","4","9","70","70"
"480170060922","1","2","4","13","17"
"480170060924","12","16","44","2616","1380"
"480170060927","1","2","3","36","28"
"480170060928","5","7","20","725","775"
"480170060930","20","24","72","1860","1520"
"480170060931","7","8","19","1113","1190"
"480170060932","2","2","3","222","188"
"480170060933","2","3","7","56","48"
"480170060934","48","51","158","5328","2832"
"480170060935","6","7","17","984","996"
"480170060936","7","8","22","133","84"
"480170060937","13","13","44","1313","1157"
"480170060938","2","2","6","98","78"
"480170060940","1","1","4","81","97"
"480170060943","24","32","87","1008","984"
"480170060944","2","2","7","76","68"
"480170060945","9","12","30","405","252"
"480170060947","36","48","133","8784","6732"
"480170060948","12","22","58","528","348"
"480170060949","8","10","26","368","336"
"480170060950","4","4","7","8","4"
"480170060952","3","4","14","213","219"
"480170060953","3","4","9","93","102"
"480170060954","1","3","7","35","32"
"480170060955","2","2","6","40","44"
"480170060957","8","8","29","488","432"
"480170060958","3","5","8","609","615"
"480170060960","3","7","17","66","57"
"480170060961","29","34","102","4930","3857"
"480170060963","2","2","6","296","268"
"480170060964","3","3","10","96","117"
"480170060966","30","42","114","2850","2550"
"480170060967","5","8","15","850","805"
"480170060969","36","49","131","2592","1908"
"480170060971","8","9","17","1592","1584"
"480170060973","11","22","51","2068","1804"
"480170060974","3","4","10","495","447"
"480170060975","1","1","2","22","20"
"480170060976","1","0","3","0","0"
"480170060977","1","3","5","68","67"
"480170060979","2","2","4","370","372"
"480170060983","2","3","10","316","398"
"480170060984","39","52","126","1326","1053"
"480170060985","3","4","9","237","213"
"480170060986","8","11","29","104","112"
"480170060988","4","6","15","548","568"
"480170060990","1","1","2","132","127"
"480170060991","1","1","4","51","50"
"480170060992","23","36","76","1564","1311"
