SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060704,69.66666666666667,,,
480170060705,7.0,,6.0,
480170060706,7.0,,,
480170060707,47.4,,15.0,
480170060709,48.3,,,
480170060710,1.0,,2.0,
480170060711,16.90909090909091,,2.0,
480170060712,1.0,,,
480170060713,43.4,,2.5,
480170060714,12.5,,17.0,
480170060715,78.75,,2.2,
480170060717,70.5,,4.0,
480170060718,16.666666666666668,,,
480170060719,2.0,,,
480170060720,0.75,,5.5,
480170060721,9.0,,,
480170060722,2.0,,,
480170060724,8.333333333333334,,,
480170060725,2.4,,,
480170060726,0.0,,,
480170060727,,,0.0,
480170060728,2.0,,,
480170060730,44.857142857142854,,8.0,
480170060731,8.0,,3.8,
480170060732,1.0,,2.5,
480170060733,,,1.0,
480170060734,39.76190476190476,,1.2857142857142858,
480170060735,10.333333333333334,,3.6666666666666665,
480170060738,53.0,,5.0,
480170060740,36.888888888888886,,,
480170060741,24.0,,8.0,
480170060743,3.2857142857142856,,6.0,
480170060746,33.2,,,
480170060747,6.2105263157894735,,1.0,
480170060748,55.625,,,
480170060750,65.0,,3.5,
480170060751,4.0,,,
480170060752,29.428571428571427,,,
480170060753,8.909090909090908,,,
480170060754,23.454545454545453,,20.0,
480170060755,59.06666666666667,,3.0,
480170060756,74.53333333333333,,,
480170060757,30.555555555555557,,3.0,
480170060758,14.363636363636363,,2.0,
480170060759,,,1.5,
480170060760,12.333333333333334,,4.0,1.0
480170060761,0.5,,,
480170060762,4.0,,,
480170060763,12.146341463414634,,5.0,
480170060764,19.666666666666668,,,
480170060765,1.0,,,
480170060766,3.0,,,
480170060767,39.333333333333336,,,
480170060768,3.0,,2.0,
480170060771,3.2222222222222223,,1.5,
480170060772,0.75,,,
480170060774,3.0,,1.0,
480170060775,1.0,,64.0,
480170060777,39.142857142857146,,3.0,
480170060779,9.5,,43.0,
480170060781,7.785714285714286,,3.2,
480170060782,99.17647058823529,17.0,4.0,
480170060783,0.5,,2.0,
480170060784,,,1.0,
