census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060369","13","11","11","5","3029","520","1027","1664","286","1781","217","18","57"
"480170060370","2","2","1","0","122","14","48","66","14","62","9","3","6"
"480170060371","11","10","9","7","308","33","154","198","88","264","366","18","43"
"480170060372","2","1","1","0","490","60","144","226","72","236","2","3","6"
"480170060374","15","14","14","9","1515","165","360","675","135","1170","475","19","55"
"480170060376","1","1","1","1","34","6","7","17","6","19","92","2","4"
"480170060379","2","1","1","2","496","58","166","250","72","264","126","2","6"
"480170060381","52","46","49","30","16380","2392","5200","9048","1872","8840","596","71","191"
"480170060382","12","10","9","7","780","180","276","504","180","936","65","17","46"
"480170060383","9","8","7","3","540","54","198","324","81","486","52","14","32"
"480170060384","17","16","6","6","3043","289","1037","1496","867","2023","83","35","83"
"480170060385","1","1","1","0","19","0","6","7","5","11","1","1","3"
"480170060388","1","1","1","0","127","7","44","57","14","60","1","0","1"
"480170060389","1","1","1","0","132","4","52","67","6","68","1","2","6"
"480170060390","6","5","3","0","1254","78","504","618","108","594","14","5","15"
"480170060391","2","2","1","0","932","40","358","426","40","438","2","2","5"
"480170060392","2","2","1","0","492","90","136","228","6","220","2","2","5"
"480170060393","24","21","20","12","7320","1200","2784","4368","1416","5784","135","35","79"
"480170060394","7","6","7","4","490","42","266","343","77","371","92","9","25"
"480170060395","1","1","0","0","53","21","9","32","7","31","1","1","2"
"480170060397","2","2","0","0","202","10","90","106","10","108","3","2","4"
"480170060402","7","7","5","2","623","133","140","322","126","329","24","12","31"
"480170060403","25","24","25","14","3600","1100","900","2250","375","2050","101","56","132"
"480170060406","5","5","3","0","3000","180","1075","1355","210","1395","7","5","16"
"480170060407","4","4","3","1","284","28","128","160","36","204","60","6","12"
"480170060408","16","15","13","5","3776","688","1392","2304","352","2288","128","20","53"
"480170060409","45","45","31","21","13275","2430","2790","6030","1305","6435","310","63","159"
"480170060410","11","10","7","5","869","319","187","506","110","737","43","12","35"
"480170060412","19","17","17","11","2679","798","703","1615","304","1881","255","29","90"
"480170060415","2","2","2","0","482","28","168","232","36","254","2","2","6"
"480170060416","7","7","7","4","231","56","91","154","28","168","402","12","28"
"480170060418","5","4","3","2","690","80","250","370","90","375","207","8","19"
"480170060419","5","5","1","4","55","0","25","35","5","35","77","11","42"
"480170060420","3","2","2","0","456","39","177","228","12","231","3","3","9"
"480170060421","25","24","25","17","1550","500","425","1100","300","875","477","33","107"
"480170060422","2","2","2","0","4","4","0","4","2","12","2","4","9"
"480170060425","36","34","35","25","8532","1800","2664","5148","1440","6012","462","42","120"
"480170060428","4","4","1","4","40","8","12","28","4","56","66","14","36"
"480170060430","1","1","1","0","51","6","13","25","10","31","1","3","4"
"480170060431","14","14","14","10","1260","182","546","812","210","1848","517","23","53"
"480170060432","6","5","6","3","480","42","186","264","30","276","56","11","30"
